Timestamp,gyro.xRaw,gyro.yRaw,gyro.zRaw,motor.m1,motor.m3,pm.vbat
7571959,-2916,-155,-7232,42000,42000,3.9536657333374023
7571969,-3057,-57,-7321,42000,42000,3.9536657333374023
7571979,-3213,57,-7416,42000,42000,3.9536657333374023
7571989,-3358,213,-7507,42000,42000,3.9536657333374023
7571999,-3503,379,-7597,42000,42000,3.9536657333374023
7572009,-3618,515,-7673,42000,42000,3.9536657333374023
7572019,-3749,675,-7760,42000,42000,3.9536657333374023
7572029,-3840,844,-7851,42000,42000,3.9536657333374023
7572039,-3923,988,-7936,42000,42000,3.9536657333374023
7572049,-3992,1227,-8046,42000,42000,3.958944320678711
7572059,-4046,1430,-8131,42000,42000,3.9536657333374023
7572069,-4065,1592,-8220,42000,42000,3.9536657333374023
7572079,-4100,1782,-8343,42000,42000,3.9536657333374023
7572089,-4120,2003,-8451,42000,42000,3.9536657333374023
7572099,-4112,2144,-8558,42000,42000,3.9536657333374023
7572109,-4070,2262,-8663,42000,42000,3.9536657333374023
7572119,-4078,2548,-8808,42000,42000,3.9536657333374023
7572129,-4014,2693,-8918,42000,42000,3.9536657333374023
7572139,-3949,2884,-9057,42000,42000,3.9536657333374023
7572149,-3859,3132,-9201,42000,42000,3.9536657333374023
7572159,-3736,3245,-9327,42000,42000,3.9536657333374023
7572169,-3624,3441,-9468,42000,42000,3.9536657333374023
7572179,-3508,3554,-9575,42000,42000,3.9536657333374023
7572189,-3429,3676,-9713,42000,42000,3.9536657333374023
7572199,-3397,3845,-9837,42000,42000,3.9536657333374023
7572209,-3256,3864,-9952,42000,42000,3.9536657333374023
7572219,-3103,4056,-10082,42000,42000,3.9536657333374023
7572229,-2920,4072,-10191,42000,42000,3.9536657333374023
7572239,-2727,4057,-10326,42000,42000,3.9536657333374023
7572249,-2548,4184,-10483,42000,42000,3.9536657333374023
7572259,-2329,4153,-10604,42000,42000,3.9536657333374023
7572269,-2059,4082,-10746,42000,42000,3.9536657333374023
7572279,-1803,4098,-10878,42000,42000,3.9536657333374023
7572289,-1561,4075,-11009,42000,42000,3.9536657333374023
7572299,-1331,3936,-11117,42000,42000,3.9536657333374023
7572309,-1075,3762,-11235,42000,42000,3.9536657333374023
7572319,-850,3664,-11374,42000,42000,3.9536657333374023
7572329,-577,3566,-11502,42000,42000,3.9536657333374023
7572339,-357,3447,-11623,42000,42000,3.9536657333374023
7572349,-124,3274,-11725,42000,42000,3.9536657333374023
7572359,96,3090,-11838,42000,42000,3.9483871459960938
7572369,319,2898,-11968,42000,42000,3.9536657333374023
7572379,532,2664,-12056,42000,42000,3.9536657333374023
7572389,742,2411,-12174,42000,42000,3.9536657333374023
7572399,939,2109,-12271,42000,42000,3.9536657333374023
7572409,1126,1797,-12383,42000,42000,3.9536657333374023
7572419,1310,1436,-12464,42000,42000,3.9536657333374023
7572429,1479,1095,-12566,42000,42000,3.9536657333374023
7572439,1637,766,-12656,42000,42000,3.9536657333374023
7572449,1762,482,-12750,42000,42000,3.9536657333374023
7572459,1913,160,-12848,42000,42000,3.9536657333374023
